list_page,panel,drawing_no,drawing_name,scale_a1,scale_a3
8,2,A5-412,창 호 안 내 도 -2,1:200,1:400
8,2,A5-413,AS OLY S-3,1:200,1:400
8,2,A5-414,창 호 안 내 도 -4,1:200,1:400
8,2,A5-421,창 호 일 반 사 항 -1,NONE,NONE
8,2,A5-422,창 호 일 반 사 항 -2,NONE,NONE
8,2,A5-423,0008 일 람 표,1:50,1:100
8,2,A5-431,하 드 웨 어 일 람 포 (HARDWARE SET),NONE,NONE
8,2,A5-432,하 드 웨 어 이 미 지 _ (ITEM IMAGE LIST) NONE,,
8,2,A5-441,창 호 일 람 표 -1,1:50,1:100
8,2,A5-442,창 호 일 람 표 -2,1:50,1:100
8,2,A5-443,창 호 일 람 표 -3,1:50,1:100
8,2,A5-444,창 호 일 람 표 -4,1:50,1:100
8,2,A5-445,창 호 일 람 표 -5,1:50,1:100
8,2,A5-446,창 호 일 람 표 -6,1:50,1:100
8,2,A5-451,그 릴 일 람 표,1:50,1:100
8,2,A5-461,,NONE,NONE
9,1,A0-111,\ 07 es beet atid ABA AMET = ”:~“‘iIB dC,,
